date	externalid	number	constant	digits	decimals
2008-11-24	735999999000000205	3806260407	1.000	6	0
2008-11-24	735999999000000274	3806251025	1.000	6	0
2008-08-28	735999999000000366	3806255504	1.000	6	0
2008-08-25	735999999000000526	3806256832	1.000	6	0
2009-01-01	735999999000000106	TM201512	1.000	9	0
2010-10-21	735999999000000106	94957544	1.000	6	2
2008-08-25	735999999000000540	3806257672	1.000	6	0
2012-03-01	735999999000000779	TM207404	1.000	9	0
2008-11-24	735999999000000175	3806251450	1.000	6	0
2008-09-01	735999999000000373	TM209606	1.000	9	0
2012-03-01	735999999000000151	TM201511	1.000	9	0
2009-01-01	735999999000000304	TM201509	1.000	9	0
2006-07-04	735999999000000779	86685642	1.000	6	2
2011-01-01	735999999000000793	TM200808	1.000	9	0
2008-09-01	735999999000000373	87465844	1.000	6	2
2011-01-26	735999999000000427	3806013399	1.000	6	0
2008-08-27	735999999000000564	3806257755	1.000	6	0
2008-08-25	735999999000000588	3806257475	1.000	6	0
2010-10-21	735999999000000304	94957546	1.000	6	2
2009-08-21	735999999000000335	3806254912	1.000	6	0
2012-12-05	735999999000000465	11680685	1.000	6	3
2008-08-25	735999999000000489	3806256848	1.000	6	0
2011-01-01	735999999000000885	86372265	1.000	6	0
2011-01-01	735999999000000885	TM200812	1.000	9	0
2008-08-25	735999999000000502	3806257551	1.000	6	0
2011-01-01	735999999000000656	TM209602	1.000	9	0
2008-08-27	735999999000000441	3806257444	1.000	6	0
2009-03-06	735999999000000717	95236091	1.000	6	0
2011-01-01	735999999000000656	3806254543	1.000	6	0
2009-11-10	735999999000000663	3806253553	1.000	6	0
2006-09-01	735999999000001226	TM210005	1.000	9	0
2006-09-21	735999999000001226	86685643	1.000	6	2
2008-12-08	735999999000000854	87465906	1.000	6	2
2009-04-22	735999999000001011	94850293	1.000	6	2
2011-01-01	735999999000000793	86372298	1.000	6	0
2008-11-27	735999999000000861	3806251790	1.000	6	0
2009-01-01	735999999000000939	TM210502	1.000	9	0
2009-01-01	735999999000000939	95236030	1.000	6	2
2008-12-01	735999999000000816	TM200809	1.000	9	0
2008-12-01	735999999000000816	87465824	1.000	6	2
2011-01-01	735999999000000953	TM210503	1.000	9	0
2011-01-01	735999999000001028	TM210405	1.000	9	0
2011-01-01	735999999000001257	TM210003	1.000	9	0
2011-01-01	735999999000001257	3806251139	1.000	6	0
2008-12-01	735999999000000823	87465798	1.000	6	2
2008-12-01	735999999000000823	TM200811	1.000	9	0
2011-01-01	735999999000001028	3806251010	1.000	6	0
2009-01-01	735999999000001295	TM207405	1.000	9	0
2008-08-25	735999999000001554	3806257366	1.000	6	0
2008-08-25	735999999000001721	3806257351	1.000	6	0
2008-12-01	735999999000000830	TM200810	1.000	9	0
2008-12-01	735999999000000830	87465819	1.000	6	2
2009-01-01	735999999000001035	TM210404	1.000	9	0
2009-01-01	735999999000001035	94957543	1.000	6	2
2009-04-24	735999999000001196	94850376	1.000	6	2
2009-01-01	735999999000001288	TM207403	1.000	9	0
2009-04-15	735999999000001899	95236016	1.000	6	2
2012-03-01	735999999000001912	TM209711	1.000	9	0
2006-07-03	735999999000001288	86685636	1.000	6	2
2008-08-29	735999999000001622	3806257681	1.000	6	0
2006-07-04	735999999000001295	86685657	1.000	6	2
2008-12-01	735999999000001349	TM207402	1.000	9	0
2008-07-01	735999999000001912	87465900	1.000	6	2
2008-11-28	735999999000002247	3806251315	1.000	6	0
2009-08-01	735999999000001691	TM209712	1.000	9	0
2009-08-01	735999999000001691	95236058	1.000	6	2
2010-04-20	735999999000001349	94850230	1.000	6	2
2008-06-05	735999999000001523	87465840	1.000	6	2
2008-11-24	735999999000002414	3806251855	1.000	6	0
2009-01-01	735999999000002568	TM206310	1.000	9	0
2009-02-12	735999999000000991	3806251048	1.000	6	0
2012-03-01	735999999000001004	TM210403	1.000	9	0
2011-01-01	735999999000001851	TM209715	1.000	9	0
2011-01-01	735999999000001851	3806254801	1.000	6	0
2009-11-09	735999999000001875	3806252359	1.000	6	0
2010-12-22	735999999000001943	TM207206	1.000	9	0
2008-11-27	735999999000001967	3806251828	1.000	6	0
2008-11-27	735999999000002018	3806251054	1.000	6	0
2009-01-01	735999999000002568	94957538	1.000	6	2
